name,height,european,weight,from,position
Ersan ��lyasova,2.08,TRUE,235,Turkey,F
Reggie Jackson,1.91,FALSE,208,Boston College,G
Brandon Jennings,1.85,FALSE,169,Oak Hill Academy (VA),G
Stanley Johnson,2.01,FALSE,245,Arizona,F
Jodie Meeks,1.93,FALSE,210,Kentucky,G
Marcus Morris,2.06,FALSE,235,Kansas,F
Anthony Tolliver,2.03,FALSE,240,Creighton,F
Lavoy Allen,2.06,FALSE,255,Temple,F/C
Chase Budinger,2.01,FALSE,209,Arizona,F
Rakeem Christmas,2.06,FALSE,239,Syracuse,F/C
Monta Ellis,1.91,FALSE,185,Lanier HS (MS),G
Paul George,2.06,FALSE,220,Fresno State,G/F
George Hill,1.91,FALSE,188,IUPUI,G
Jordan Hill,2.08,FALSE,235,Arizona,F/C
Solomon Hill,2.01,FALSE,225,Arizona,F
Ian Mahinmi,2.11,TRUE,250,France,C
C. J. Miles,1.98,FALSE,231,Skyline HS (TX),G/F
Glenn Robinson III,2.01,FALSE,222,Michigan,F
Rodney Stuckey,1.96,FALSE,205,Eastern Washington,G
Myles Turner,2.11,FALSE,243,Texas,C
Shayne Whittington,2.11,FALSE,245,Western Michigan,F/C
Joseph Young,1.88,FALSE,180,Oregon,G
Giannis Antetokounmpo,2.11,TRUE,222,Greece,F
Jerryd Bayless,1.91,FALSE,200,Arizona,G
Michael Carter-Williams,1.98,FALSE,190,Syracuse,G
Chris Copeland,2.03,FALSE,239,Colorado,F
Tyler Ennis,1.91,FALSE,194,Syracuse,G
John Henson,2.11,FALSE,229,North Carolina,F/C
Damien Inglis,2.06,TRUE,246,INSEP (FRA),F
O. J. Mayo,1.96,FALSE,210,Southern California,G
Khris Middleton,2.01,FALSE,234,Texas A&M,G/F
Greg Monroe,2.11,FALSE,265,Georgetown,F/C
Johnny O'Bryant III,2.06,FALSE,257,LSU,F
Jabari Parker,2.03,FALSE,250,Duke,F
Miles Plumlee,2.11,FALSE,249,Duke,C
Greivis V��squez,1.98,FALSE,217,Maryland,G
Rashad Vaughn,1.98,FALSE,202,UNLV,G
Kent Bazemore,1.96,FALSE,201,Old Dominion,G
Tim Hardaway Jr.,1.98,FALSE,205,Michigan,G
Justin Holiday,1.98,FALSE,185,Washington,G/F
Al Horford,2.08,FALSE,245,Florida,F/C
Kyle Korver,2.01,FALSE,212,Creighton,G/F
Shelvin Mack,1.91,FALSE,203,Butler,G
Paul Millsap,2.01,FALSE,246,Louisiana Tech,F
Mike Muscala,2.11,FALSE,240,Bucknell,F/C
Lamar Patterson,1.96,FALSE,225,Pittsburgh,G/F
Dennis Schroeder,1.83,TRUE,172,Germany,G
Mike Scott,2.03,FALSE,237,Virginia,F
Thabo Sefolosha,2.01,TRUE,220,Switzerland,G/F
Tiago Splitter,2.11,FALSE,245,Brazil,F/C
Walter Tavares,2.21,FALSE,260,Cape Verde,C
Jeff Teague,1.88,FALSE,186,Wake Forest,G
Nicolas Batum,2.03,TRUE,200,France,F
Troy Daniels,1.93,FALSE,205,Virginia Commonwealth,G
P. J. Hairston,1.98,FALSE,230,North Carolina,G/F
Tyler Hansbrough,2.06,FALSE,250,North Carolina,F/C
Aaron Harrison,1.98,FALSE,210,Kentucky,G
Spencer Hawes,2.16,FALSE,245,Washington,F/C
